id,name,lat,long,max_volt,node_synth
113911,UNKNOWN113911,39.2457122230001,-84.6052453349999,,0
113913,UNKNOWN113913,39.2327464100001,-84.5585117269999,,0
116567,UNKNOWN116567,33.88620293,-84.2709672509999,115.0,0
153385,UNKNOWN153385,33.8585152040001,-84.303512777,115.0,0
122339,UNKNOWN122339,34.192789578,-80.085847981,69.0,0
147120,TAP147120,34.1459427500001,-79.96922108,69.0,0
120924,UNKNOWN120924,34.7116720540001,-80.1180577009999,69.0,0
148312,TAP148312,34.69319253,-79.983004469,69.0,0
113223,UNKNOWN113223,41.432918,-82.7275749999999,138.0,0
134712,LAKEVIEW,42.5057205570001,-87.8989420349999,138.0,0
147356,CLOVERDALE 765KV,37.374471166,-79.90058706,765.0,0
154233,JACKSONS FERRY,36.879162195,-80.823170254,765.0,0
148492,TAP148492,41.619957809,-83.5496304979999,138.0,0
148667,TAP148667,41.5942214070001,-83.555289219,138.0,0
120039,UNKNOWN120039,35.429978949,-87.107692905,161.0,0
153057,TAP153057,35.4251176430001,-87.1021927739999,161.0,0
151410,ELFERS,28.206511005,-82.722892895,115.0,0
151428,SEVEN SPRINGS,28.2033778900001,-82.683018306,230.0,0
117342,PARR GT,34.2640714120001,-81.330906168,115.0,0
152868,DENNY TERRACE,34.0575627630001,-81.061456047,230.0,0
114026,UNKNOWN114026,34.8308286130001,-82.26424924,100.0,0
114027,UNKNOWN114027,34.8110752790001,-82.272168086,100.0,0
151600,UNKNOWN151600,27.5836311460001,-81.9338228189999,,0
117062,BYLLESBY 2,36.7844855060001,-80.935303485,138.0,0
121139,BUCK HYDRO,36.808098182,-80.9387268149999,,0
145890,TAP145890,35.243019969,-83.076278035,161.0,0
145891,TAP145891,35.2530756560001,-83.1033769169999,161.0,0
137984,UNKNOWN137984,42.009241301,-95.355575849,69.0,0
137985,TAP137985,42.009255974,-95.355794363,69.0,0
132280,METUCHEN,40.539374686,-74.36353458,,0
143940,DEANS,40.405533152,-74.485291546,500.0,0
109270,UNKNOWN109270,33.496465981,-86.850114472,115.0,0
142687,TAP142687,33.488184335,-86.8538529959999,115.0,0
107921,UNKNOWN107921,36.3167618580001,-94.4553671259999,161.0,0
107928,UNKNOWN107928,36.254079717,-94.5274874,345.0,0
140647,TAP140647,40.7145161560001,-77.907237252,230.0,0
146615,SHAWVILLE STATION,41.0665675480001,-78.366918491,230.0,0
117424,UNKNOWN117424,36.699141572,-93.497640942,69.0,0
117462,UNKNOWN117462,36.7232185620001,-93.5468163579999,69.0,0
109879,UNKNOWN109879,35.845509475,-82.5271976619999,115.0,0
145618,TAP145618,35.8449182260001,-82.5289866429999,115.0,0
109122,UNKNOWN109122,31.715016593,-86.26614561,115.0,0
142908,TAP142908,31.7242743100001,-86.26554428,115.0,0
111513,UNKNOWN111513,34.051367,-84.171749,230.0,0
116217,UNKNOWN116217,33.9974601000001,-84.158881843,230.0,0
129407,UNKNOWN129407,44.6491156010001,-93.294590842,115.0,0
129413,UNKNOWN129413,44.686752471,-93.286268401,115.0,0
113644,WILLEY BATTERY UTILITY,39.2878157600001,-84.67968708,138.0,0
113912,UNKNOWN113912,39.3121836400001,-84.559927723,138.0,0
117836,UNKNOWN117836,37.113954558,-92.5962134499999,161.0,0
122394,UNKNOWN122394,37.1419279510001,-92.571238792,69.0,0
111526,UNKNOWN111526,34.0129430000001,-84.372496,115.0,0
116273,UNKNOWN116273,34.0191215720001,-84.4122315019999,115.0,0
127818,CENTRAL HARDIN,37.6689049440001,-85.932321492,138.0,0
149341,HARDIN,36.767570177,-88.291047202,161.0,0
128502,UNKNOWN128502,43.4737601510001,-83.388758523,120.0,0
138709,TAP138709,43.4739844540001,-83.409277601,120.0,0
124704,BETHLEHEM ENERGY CENTER,42.5949742450001,-73.762359574,115.0,0
136088,GREENBUSH,42.605873031,-73.7149009299999,115.0,0
121563,UNKNOWN121563,38.4530451000001,-78.8877849849999,,0
146909,HARRISONBURG,38.411324156,-78.882280501,230.0,0
116541,UNKNOWN116541,33.920817556,-84.4687179909999,115.0,0
142613,TAP142613,33.9056917140001,-84.4647380439999,115.0,0
118849,UNKNOWN118849,36.568339687,-99.556608919,69.0,0
149185,TAP149185,36.567980246,-99.555962671,69.0,0
113373,UNKNOWN113373,39.1262854830001,-84.600731694,69.0,0
140122,TAP140122,39.1187130000001,-84.6164869999999,69.0,0
128338,UNKNOWN128338,42.184006331,-83.1693639819999,120.0,0
144633,DETROIT EDISON KING ROAD,42.1571275160001,-83.18246637,120.0,0
113394,UNKNOWN113394,34.7571702050001,-82.291036046,100.0,0
154443,TAP154443,34.793762112,-82.281555301,100.0,0
109369,UNKNOWN109369,32.5782097430001,-89.3264577849999,161.0,0
149766,LEAKE,32.749784838,-89.492329038,161.0,0
143137,TAP143137,29.008681612,-82.459852683,69.0,0
154552,TAP154552,29.0070588400001,-82.578063979,69.0,0
120649,UNKNOWN120649,30.3576709020001,-87.272352664,,0
150199,BEACH HAVEN,30.384403396,-87.309860554,115.0,0
120742,ARVAH B HOPKINS,30.453104373,-84.398141868,230.0,0
120743,UNKNOWN120743,30.4681412370001,-84.3776762319999,230.0,0
124811,UNKNOWN124811,37.2984730000001,-84.85389,161.0,0
155488,TAP155488,37.128384779,-84.7004788,161.0,0
152413,UNKNOWN152413,39.7984477590001,-82.974533572,138.0,0
152424,TAP152424,39.7940770000001,-82.9572899999999,69.0,0
130699,DUBUQUE,42.5037692720001,-90.6585636899999,161.0,0
137916,TAP137916,42.4774673210001,-90.665016705,69.0,0
140669,TAP140669,42.60230047,-71.169735089,115.0,0
140672,TAP140672,42.6160167630001,-71.1893874099999,115.0,0
147822,CHESTERFIELD,37.3818034330001,-77.382598258,230.0,0
147873,TAP147873,37.3066024350001,-77.404084627,115.0,0
121384,REUSENS,37.4624954230001,-79.187126136,,0
147440,GOMINGO,37.426632528,-79.08461772,138.0,0
140243,TAP140243,40.597199791,-75.356288046,69.0,0
140256,TAP140256,40.588381091,-75.3743845769999,69.0,0
119876,UNKNOWN119876,37.579906775,-99.322011639,115.0,0
148791,TAP148791,37.2890810000001,-99.328318,34.5,0
115312,JOHNSONVILLE,36.0282144070001,-87.984854736,161.0,0
152198,TAP152198,36.0467997750001,-87.917283846,161.0,0
134879,UNKNOWN134879,47.001130501,-103.651230253,,0
134894,UNKNOWN134894,46.903374,-103.636405,,0
124430,UNKNOWN124430,41.5321915590001,-88.078408617,138.0,0
138216,TAP138216,41.5636031820001,-88.1310583379999,138.0,0
118406,EL RENO,35.5324261870001,-97.945705819,138.0,0
149226,TAP149226,35.50863809,-97.900234832,138.0,0
149285,ONETA,36.0117936390001,-95.703342461,345.0,0
113865,UNKNOWN113865,39.964772194,-83.123344047,138.0,0
152441,TAP152441,39.963598109,-83.118611743,138.0,0
124476,UNKNOWN124476,39.8236861830001,-85.771120337,138.0,0
124479,UNKNOWN124479,39.8186394900001,-85.792273103,138.0,0
144703,TAP144703,35.4474478010001,-83.9386355409999,161.0,0
109548,SANTEETLAH,35.4475301910001,-83.863722981,161.0,0
147210,TAP147210,34.7422158000001,-78.8072907,230.0,0
140814,CUMBERLAND,42.5716159400001,-72.617364042,115.0,0
109998,UNKNOWN109998,30.6228954810001,-89.661736021,115.0,0
143432,TAP143432,30.6231138310001,-89.661899784,115.0,0
109557,UNKNOWN109557,35.282531571,-83.4524684249999,161.0,0
145896,TAP145896,35.4121498120001,-83.4597075029999,161.0,0
134908,BISMARCK,46.8138538380001,-100.728969552,230.0,0
135085,GLENHAM,45.5345774200001,-100.225605175,230.0,0
113092,KEAN MTN AND GRASSY CREEK,37.174664831,-81.922540752,138.0,0
113093,BUCHANAN GENERATION LLC,37.175484119,-81.961054985,138.0,0
122895,MCCAIN,39.4030516070001,-77.447070814,230.0,0
154540,LIME,27.349948237,-82.532996306,,0
154556,TAP154556,27.3568062050001,-82.5264572149999,,0
149117,ARKOMA,35.364136672,-94.428817876,161.0,0
149677,FORT SMITH,35.300003583,-94.430405023,500.0,0
123293,SOLLERS WARF,38.4129425840001,-76.4597557449999,230.0,0
123295,UNKNOWN123295,38.4231987320001,-76.448733348,,0
143808,TAP143808,45.159207,-84.6759939999999,138.0,0
143810,TAP143810,45.31868652,-84.607561198,138.0,0
121354,UNKNOWN121354,38.1289050250001,-83.098344265,69.0,0
137781,TAP137781,38.138233214,-83.077999265,69.0,0
137614,TAP137614,39.4750189220001,-84.3774294689999,69.0,0
137616,TAP137616,39.458699686,-84.376352466,69.0,0
111308,UNKNOWN111308,35.2774120830001,-81.551898808,100.0,0
122309,UNKNOWN122309,41.859968812,-88.043301695,138.0,0
144513,PLEASANT HILL,41.9002272710001,-88.135113491,138.0,0
123680,BEAVER VALLEY,40.62055064,-80.4315417079999,345.0,0
153595,HANNA,39.714010783,-86.052372261,345.0,0
150359,TAP150359,40.121285496,-80.584535332,138.0,0
150360,UNKNOWN150360,40.1218565670001,-80.587857059,138.0,0
110335,UNKNOWN110335,34.386529415,-84.378796489,230.0,0
155365,TAP155365,34.3710267000001,-84.3820625,,0
115690,UNKNOWN115690,29.692679481,-91.359143069,138.0,0
115691,UNKNOWN115691,29.726132073,-91.424599332,138.0,0
116101,UNKNOWN116101,33.998611628,-83.8662781259999,230.0,0
116103,WINDER,33.995555349,-83.753162778,230.0,0
114671,UNKNOWN114671,35.431626329,-80.903381541,100.0,0
154199,TAP154199,35.4319833540001,-80.9039564299999,100.0,0
110253,SOUTHEAST GREENE,31.0220784260001,-88.5150201879999,230.0,0
110308,BENNDALE 230,30.875967087,-88.79480879,230.0,0
109184,UNKNOWN109184,32.380624099,-87.003879851,115.0,0
146087,TAP146087,32.3722324980001,-86.9915385689999,115.0,0
127611,UNKNOWN127611,44.788384738,-73.482743009,115.0,0
139859,PLATTSBURGH,44.712619535,-73.459000004,115.0,0
111550,UNKNOWN111550,33.8259864250001,-84.455010036,115.0,0
142586,TAP142586,33.8213338830001,-84.454463394,115.0,0
107949,UNKNOWN107949,33.109524483,-91.283126707,115.0,0
116942,UNKNOWN116942,32.9627735180001,-91.344034393,115.0,0
114962,UNKNOWN114962,34.722580872,-87.808039686,161.0,0
154401,TAP154401,34.7221413250001,-87.808188236,161.0,0
117294,UNKNOWN117294,36.260144675,-94.1409464279999,161.0,0
117295,UNKNOWN117295,36.3162120960001,-94.1167614299999,161.0,0
124896,UNKNOWN124896,39.2215635960001,-85.11310357,69.0,0
137562,TAP137562,39.218507898,-85.113093459,69.0,0
